price,quantity,type,timestamp
532.8,49073.8924,1,2022-05-21 23:36:08
532.9,145.2652,1,2022-05-21 23:36:08
532.0,40513.3993,0,2022-05-21 23:36:10
531.9,1067.0024,0,2022-05-21 23:36:10
531.8,80442.4215,0,2022-05-21 23:36:10
531.7,45835.6389,0,2022-05-21 23:36:10
531.6,49085.2826,0,2022-05-21 23:36:10
532.5,4024.5033,1,2022-05-21 23:36:10
532.6,44272.546,1,2022-05-21 23:36:10
532.7,125637.8511,1,2022-05-21 23:36:10
532.8,49073.8924,1,2022-05-21 23:36:10
532.9,145.2652,1,2022-05-21 23:36:10
532.0,38391.5918,0,2022-05-21 23:36:12
531.9,1067.0024,0,2022-05-21 23:36:12
531.8,80442.4215,0,2022-05-21 23:36:12
531.7,45835.6389,0,2022-05-21 23:36:12
531.6,49085.2826,0,2022-05-21 23:36:12
532.5,4024.5033,1,2022-05-21 23:36:12
532.6,44272.546,1,2022-05-21 23:36:12
532.7,125637.8511,1,2022-05-21 23:36:12
532.8,49073.8924,1,2022-05-21 23:36:12
532.9,145.2652,1,2022-05-21 23:36:12
532.0,38391.5918,0,2022-05-21 23:36:15
531.9,1067.0024,0,2022-05-21 23:36:15
531.8,80442.4215,0,2022-05-21 23:36:15
531.7,45835.6389,0,2022-05-21 23:36:15
531.6,49085.2826,0,2022-05-21 23:36:15
532.5,4024.5033,1,2022-05-21 23:36:15
532.6,44272.546,1,2022-05-21 23:36:15
532.7,125637.8511,1,2022-05-21 23:36:15
532.8,49073.8924,1,2022-05-21 23:36:15
532.9,145.2652,1,2022-05-21 23:36:15
532.0,38391.5918,0,2022-05-21 23:36:17
531.9,1067.0024,0,2022-05-21 23:36:17
531.8,80442.4215,0,2022-05-21 23:36:17
531.7,45835.6389,0,2022-05-21 23:36:17
531.6,49085.2826,0,2022-05-21 23:36:17
532.5,4024.5033,1,2022-05-21 23:36:17
532.6,81795.9981,1,2022-05-21 23:36:17
532.7,88114.399,1,2022-05-21 23:36:17
532.8,49073.8924,1,2022-05-21 23:36:17
532.9,145.2652,1,2022-05-21 23:36:17
532.0,38391.5918,0,2022-05-21 23:36:19
531.9,1067.0024,0,2022-05-21 23:36:19
531.8,80442.4215,0,2022-05-21 23:36:19
531.7,45835.6389,0,2022-05-21 23:36:19
531.6,49085.2826,0,2022-05-21 23:36:19
532.5,4024.5033,1,2022-05-21 23:36:19
532.6,81795.9981,1,2022-05-21 23:36:19
532.7,88114.399,1,2022-05-21 23:36:19
532.8,49073.8924,1,2022-05-21 23:36:19
532.9,145.2652,1,2022-05-21 23:36:19
532.0,36563.8258,0,2022-05-21 23:36:22
531.8,42918.9694,0,2022-05-21 23:36:22
531.7,1570.0036,0,2022-05-21 23:36:22
531.6,49085.2826,0,2022-05-21 23:36:22
531.5,74227.7194,0,2022-05-21 23:36:22
532.4,34042.8051,1,2022-05-21 23:36:22
532.5,4024.5033,1,2022-05-21 23:36:22
532.6,176493.6877,1,2022-05-21 23:36:22
532.7,4800.4901,1,2022-05-21 23:36:22
532.8,49073.8924,1,2022-05-21 23:36:22
532.0,36563.8258,0,2022-05-21 23:36:24
531.8,42918.9694,0,2022-05-21 23:36:24
531.7,1570.0036,0,2022-05-21 23:36:24
531.6,86608.7347,0,2022-05-21 23:36:24
531.5,74227.7194,0,2022-05-21 23:36:24
532.4,34042.8051,1,2022-05-21 23:36:24
532.5,4024.5033,1,2022-05-21 23:36:24
532.6,176493.6877,1,2022-05-21 23:36:24
532.7,4800.4901,1,2022-05-21 23:36:24
532.8,61073.8924,1,2022-05-21 23:36:24
532.0,36563.8258,0,2022-05-21 23:36:26
531.8,42918.9694,0,2022-05-21 23:36:26
531.7,1570.0036,0,2022-05-21 23:36:26
531.6,86608.7347,0,2022-05-21 23:36:26
531.5,74227.7194,0,2022-05-21 23:36:26
532.4,34042.8051,1,2022-05-21 23:36:26
532.5,4024.5033,1,2022-05-21 23:36:26
532.6,161643.6877,1,2022-05-21 23:36:26
532.7,4800.4901,1,2022-05-21 23:36:26
